Tiempo de procesamiento: 1640.99 segundos
id,liquidacion_nro,transportista,fecha,nro_guia,placa,vehiculo_id,insumo,material_id,peso_seco,peso_humedo,monto_total,ruta,origen,destino,fuente,fecha_carga
1785447333472-1910583628,1785447333472,VIRGEN DE ESTRELLA S.A.C.,2026-06-05,191/0583628,C9W737,VE-12,"PIEDRA HUSO #67",MAT-9,35.85,35.85,428.77,"CANTERA JICAMARCA - SAN JUAN","CANTERA JICAMARCA","SAN JUAN","Virgen de Estrella 47043.pdf",2026-07-30T22:02:54.475Z
1785447333472-1910583683,1785447333472,VIRGEN DE ESTRELLA S.A.C.,2026-06-06,191/0583683,C9W737,VE-12,"ARENA",MAT-3,31.85,35.67,426.61,"CANTERA JICAMARCA - SAN JUAN","CANTERA JICAMARCA","SAN JUAN","Virgen de Estrella 47043.pdf",2026-07-30T22:02:54.475Z
1785447333472-1910583745,1785447333472,VIRGEN DE ESTRELLA S.A.C.,2026-06-06,191/0583745,CHS718,VE-36,"ARENA",MAT-3,32.24,36.11,431.88,"CANTERA JICAMARCA - SAN JUAN","CANTERA JICAMARCA","SAN JUAN","Virgen de Estrella 47043.pdf",2026-07-30T22:02:54.475Z
1785447333472-1910583751,1785447333472,VIRGEN DE ESTRELLA S.A.C.,2026-06-06,191/0583751,CBA709,VE-34,"ARENA",MAT-3,31.95,35.78,427.93,"CANTERA JICAMARCA - SAN JUAN","CANTERA JICAMARCA","SAN JUAN","Virgen de Estrella 47043.pdf",2026-07-30T22:02:54.475Z
1785447333472-1910583498,1785447333472,VIRGEN DE ESTRELLA S.A.C.,2026-06-05,191/0583498,CAZ895,VE-33,"ARENA",MAT-3,32.98,37.26,370.01,"CANTERA JICAMARCA - ANCIETA","CANTERA JICAMARCA","ANCIETA","Virgen de Estrella 47043.pdf",2026-07-30T22:02:54.475Z
1785447333472-1910583520,1785447333472,VIRGEN DE ESTRELLA S.A.C.,2026-06-05,191/0583520,C9W737,VE-12,"ARENA",MAT-3,36.84,36.84,365.86,"CANTERA JICAMARCA - ANCIETA","CANTERA JICAMARCA","ANCIETA","Virgen de Estrella 47043.pdf",2026-07-30T22:02:54.475Z
1785447333472-1910583537,1785447333472,VIRGEN DE ESTRELLA S.A.C.,2026-06-05,191/0583537,CBA709,VE-34,"ARENA",MAT-3,33.3,37.63,373.71,"CANTERA JICAMARCA - ANCIETA","CANTERA JICAMARCA","ANCIETA","Virgen de Estrella 47043.pdf",2026-07-30T22:02:54.475Z
1785447333472-1910583485,1785447333472,VIRGEN DE ESTRELLA S.A.C.,2026-06-05,191/0583485,CHS718,VE-36,"PIEDRA HUSO #67",MAT-9,36.26,36.26,360.01,"CANTERA JICAMARCA - ANCIETA","CANTERA JICAMARCA","ANCIETA","Virgen de Estrella 47043.pdf",2026-07-30T22:02:54.476Z
1785447333472-1910583492,1785447333472,VIRGEN DE ESTRELLA S.A.C.,2026-06-05,191/0583492,CCL847,VE-35,"PIEDRA HUSO #67",MAT-9,36.58,36.58,363.24,"CANTERA JICAMARCA - ANCIETA","CANTERA JICAMARCA","ANCIETA","Virgen de Estrella 47043.pdf",2026-07-30T22:02:54.476Z
1785447333472-1910583534,1785447333472,VIRGEN DE ESTRELLA S.A.C.,2026-06-05,191/0583534,CHS718,VE-36,"PIEDRA HUSO #67",MAT-9,35.54,35.54,352.93,"CANTERA JICAMARCA - ANCIETA","CANTERA JICAMARCA","ANCIETA","Virgen de Estrella 47043.pdf",2026-07-30T22:02:54.476Z
1785447333472-1910583557,1785447333472,VIRGEN DE ESTRELLA S.A.C.,2026-06-05,191/0583557,C9W737,VE-12,"PIEDRA N#8 ASTM",MAT-9,32.63,32.8,469.31,"CANTERA JICAMARCA - EMBOLSADOS INS. Y SUM.","CANTERA JICAMARCA","EMBOLSADOS INS. Y SUM.","Virgen de Estrella 47043.pdf",2026-07-30T22:02:54.476Z
1785447333472-1910583568,1785447333472,VIRGEN DE ESTRELLA S.A.C.,2026-06-05,191/0583568,CHS718,VE-36,"PIEDRA N#8 ASTM",MAT-9,32.78,32.94,471.41,"CANTERA JICAMARCA - EMBOLSADOS INS. Y SUM.","CANTERA JICAMARCA","EMBOLSADOS INS. Y SUM.","Virgen de Estrella 47043.pdf",2026-07-30T22:02:54.476Z
1785447333472-1910583570,1785447333472,VIRGEN DE ESTRELLA S.A.C.,2026-06-05,191/0583570,CCL847,VE-35,"PIEDRA N#8 ASTM",MAT-9,33.89,34.06,487.4,"CANTERA JICAMARCA - EMBOLSADOS INS. Y SUM.","CANTERA JICAMARCA","EMBOLSADOS INS. Y SUM.","Virgen de Estrella 47043.pdf",2026-07-30T22:02:54.476Z
1785447333472-1910583592,1785447333472,VIRGEN DE ESTRELLA S.A.C.,2026-06-05,191/0583592,CAZ895,VE-33,"PIEDRA N#8 ASTM",MAT-9,32.76,32.93,471.2,"CANTERA JICAMARCA - EMBOLSADOS INS. Y SUM.","CANTERA JICAMARCA","EMBOLSADOS INS. Y SUM.","Virgen de Estrella 47043.pdf",2026-07-30T22:02:54.476Z
1785447333472-1910583594,1785447333472,VIRGEN DE ESTRELLA S.A.C.,2026-06-05,191/0583594,CBA709,VE-34,"PIEDRA N#8 ASTM",MAT-9,32.88,33.05,472.88,"CANTERA JICAMARCA - EMBOLSADOS INS. Y SUM.","CANTERA JICAMARCA","EMBOLSADOS INS. Y SUM.","Virgen de Estrella 47043.pdf",2026-07-30T22:02:54.476Z
1785447333472-1910583725,1785447333472,VIRGEN DE ESTRELLA S.A.C.,2026-06-06,191/0583725,CAZ895,VE-33,"PIEDRA HUSO #5",MAT-9,33.6,33.6,565.49,"CANTERA JICAMARCA - SAN ANTONIO","CANTERA JICAMARCA","SAN ANTONIO","Virgen de Estrella 47043.pdf",2026-07-30T22:02:54.476Z
1785447333472-1910583687,1785447333472,VIRGEN DE ESTRELLA S.A.C.,2026-06-06,191/0583687,CHS718,VE-36,"PIEDRA HUSO #67",MAT-9,35.29,35.29,593.99,"CANTERA JICAMARCA - SAN ANTONIO","CANTERA JICAMARCA","SAN ANTONIO","Virgen de Estrella 47043.pdf",2026-07-30T22:02:54.476Z
1785447333472-1950194287,1785447333472,VIRGEN DE ESTRELLA S.A.C.,2026-06-05,195/0194287,CBR854,VE-08,"PIEDRA HUSO #67",MAT-9,42.96,42.96,650.84,"CANTERA HIERBABUENA - MEIGGS","CANTERA HIERBABUENA","MEIGGS","Virgen de Estrella 47043.pdf",2026-07-30T22:02:54.476Z
1785447333472-1950194289,1785447333472,VIRGEN DE ESTRELLA S.A.C.,2026-06-05,195/0194289,ATN880,VE-03,"PIEDRA HUSO #67",MAT-9,42.78,42.78,648.12,"CANTERA HIERBABUENA - MEIGGS","CANTERA HIERBABUENA","MEIGGS","Virgen de Estrella 47043.pdf",2026-07-30T22:02:54.476Z
1785447333472-1950194313,1785447333472,VIRGEN DE ESTRELLA S.A.C.,2026-06-06,195/0194313,CBR854,VE-08,"PIEDRA HUSO #67",MAT-9,39.95,39.95,605.24,"CANTERA HIERBABUENA - MEIGGS","CANTERA HIERBABUENA","MEIGGS","Virgen de Estrella 47043.pdf",2026-07-30T22:02:54.476Z
1785447333472-1950194321,1785447333472,VIRGEN DE ESTRELLA S.A.C.,2026-06-06,195/0194321,F3F817,VE-01,"PIEDRA HUSO #67",MAT-9,41.39,41.39,627.06,"CANTERA HIERBABUENA - MEIGGS","CANTERA HIERBABUENA","MEIGGS","Virgen de Estrella 47043.pdf",2026-07-30T22:02:54.476Z
1785447333472-1950194324,1785447333472,VIRGEN DE ESTRELLA S.A.C.,2026-06-06,195/0194324,BYP838,VE-06,"PIEDRA HUSO #67",MAT-9,40.68,40.68,616.3,"CANTERA HIERBABUENA - MEIGGS","CANTERA HIERBABUENA","MEIGGS","Virgen de Estrella 47043.pdf",2026-07-30T22:02:54.476Z
1785447333472-1950194286,1785447333472,VIRGEN DE ESTRELLA S.A.C.,2026-06-05,195/0194286,BAE736,VE-26,"ARENA YERBABUENA",MAT-3,38.9,39.68,601.15,"CANTERA HIERBABUENA - MEIGGS","CANTERA HIERBABUENA","MEIGGS","Virgen de Estrella 47043.pdf",2026-07-30T22:02:54.476Z
1785447333472-1950194288,1785447333472,VIRGEN DE ESTRELLA S.A.C.,2026-06-05,195/0194288,F3F817,VE-01,"ARENA YERBABUENA",MAT-3,39.96,40.76,617.51,"CANTERA HIERBABUENA - MEIGGS","CANTERA HIERBABUENA","MEIGGS","Virgen de Estrella 47043.pdf",2026-07-30T22:02:54.476Z
1785447333472-1950194290,1785447333472,VIRGEN DE ESTRELLA S.A.C.,2026-06-05,195/0194290,AWW871,VE-23,"ARENA YERBABUENA",MAT-3,38.66,39.43,597.36,"CANTERA HIERBABUENA - MEIGGS","CANTERA HIERBABUENA","MEIGGS","Virgen de Estrella 47043.pdf",2026-07-30T22:02:54.476Z
1785447333472-1950194291,1785447333472,VIRGEN DE ESTRELLA S.A.C.,2026-06-05,195/0194291,AWH708,VE-24,"ARENA YERBABUENA",MAT-3,37.88,38.64,585.4,"CANTERA HIERBABUENA - MEIGGS","CANTERA HIERBABUENA","MEIGGS","Virgen de Estrella 47043.pdf",2026-07-30T22:02:54.476Z
1785447333472-1950194294,1785447333472,VIRGEN DE ESTRELLA S.A.C.,2026-06-05,195/0194294,BYP838,VE-06,"ARENA YERBABUENA",MAT-3,40.24,40.24,609.64,"CANTERA HIERBABUENA - MEIGGS","CANTERA HIERBABUENA","MEIGGS","Virgen de Estrella 47043.pdf",2026-07-30T22:02:54.476Z
1785447333472-1950194311,1785447333472,VIRGEN DE ESTRELLA S.A.C.,2026-06-06,195/0194311,BAE736,VE-26,"ARENA YERBABUENA",MAT-3,38.36,39.13,592.82,"CANTERA HIERBABUENA - MEIGGS","CANTERA HIERBABUENA","MEIGGS","Virgen de Estrella 47043.pdf",2026-07-30T22:02:54.476Z
1785447333472-1950194314,1785447333472,VIRGEN DE ESTRELLA S.A.C.,2026-06-06,195/0194314,BFI758,VE-28,"ARENA YERBABUENA",MAT-3,38.1,38.86,588.73,"CANTERA HIERBABUENA - MEIGGS","CANTERA HIERBABUENA","MEIGGS","Virgen de Estrella 47043.pdf",2026-07-30T22:02:54.476Z
1785447333472-1950194318,1785447333472,VIRGEN DE ESTRELLA S.A.C.,2026-06-06,195/0194318,BFI758,VE-28,"ARENA YERBABUENA",MAT-3,38.06,38.82,588.12,"CANTERA HIERBABUENA - MEIGGS","CANTERA HIERBABUENA","MEIGGS","Virgen de Estrella 47043.pdf",2026-07-30T22:02:54.476Z
1785447333472-1950194319,1785447333472,VIRGEN DE ESTRELLA S.A.C.,2026-06-06,195/0194319,D8D861,VE-14,"ARENA YERBABUENA",MAT-3,36.81,37.55,568.88,"CANTERA HIERBABUENA - MEIGGS","CANTERA HIERBABUENA","MEIGGS","Virgen de Estrella 47043.pdf",2026-07-30T22:02:54.476Z
1785447333472-1950194320,1785447333472,VIRGEN DE ESTRELLA S.A.C.,2026-06-06,195/0194320,AWW871,VE-23,"ARENA YERBABUENA",MAT-3,36.74,37.47,567.67,"CANTERA HIERBABUENA - MEIGGS","CANTERA HIERBABUENA","MEIGGS","Virgen de Estrella 47043.pdf",2026-07-30T22:02:54.476Z
1785447333472-1950194322,1785447333472,VIRGEN DE ESTRELLA S.A.C.,2026-06-06,195/0194322,BFC837,VE-27,"ARENA YERBABUENA",MAT-3,38.95,39.73,601.91,"CANTERA HIERBABUENA - MEIGGS","CANTERA HIERBABUENA","MEIGGS","Virgen de Estrella 47043.pdf",2026-07-30T22:02:54.476Z
1785447333472-1950194323,1785447333472,VIRGEN DE ESTRELLA S.A.C.,2026-06-06,195/0194323,ATN880,VE-03,"ARENA YERBABUENA",MAT-3,40.99,41.81,633.42,"CANTERA HIERBABUENA - MEIGGS","CANTERA HIERBABUENA","MEIGGS","Virgen de Estrella 47043.pdf",2026-07-30T22:02:54.476Z
1785447333472-0010018309,1785447333472,VIRGEN DE ESTRELLA S.A.C.,2026-06-05,001/0018309,AJC805,VE-21,"PIEDRA HUSO # 67 - SAN LORENZO",MAT-9,37.88,38.83,295.11,"CONSORCIO AGREGADOS SAN LORENZO S.A.C. - COLLIQUE","CONSORCIO AGREGADOS SAN LORENZO S.A.C.","COLLIQUE","Virgen de Estrella 47043.pdf",2026-07-30T22:02:54.476Z
1785447333472-0010018323,1785447333472,VIRGEN DE ESTRELLA S.A.C.,2026-06-05,001/0018323,AWW845,VE-25,"PIEDRA HUSO # 67 - SAN LORENZO",MAT-9,38.69,39.66,301.42,"CONSORCIO AGREGADOS SAN LORENZO S.A.C. - COLLIQUE","CONSORCIO AGREGADOS SAN LORENZO S.A.C.","COLLIQUE","Virgen de Estrella 47043.pdf",2026-07-30T22:02:54.476Z
1785447333472-0010018324,1785447333472,VIRGEN DE ESTRELLA S.A.C.,2026-06-05,001/0018324,C9T788,VE-11,"PIEDRA HUSO # 67 - SAN LORENZO",MAT-9,37.04,37.04,281.5,"CONSORCIO AGREGADOS SAN LORENZO S.A.C. - COLLIQUE","CONSORCIO AGREGADOS SAN LORENZO S.A.C.","COLLIQUE","Virgen de Estrella 47043.pdf",2026-07-30T22:02:54.476Z
1785447333472-0010018328,1785447333472,VIRGEN DE ESTRELLA S.A.C.,2026-06-05,001/0018328,ABL875,VE-17,"PIEDRA HUSO # 67 - SAN LORENZO",MAT-9,38.56,39.52,300.35,"CONSORCIO AGREGADOS SAN LORENZO S.A.C. - COLLIQUE","CONSORCIO AGREGADOS SAN LORENZO S.A.C.","COLLIQUE","Virgen de Estrella 47043.pdf",2026-07-30T22:02:54.476Z
1785447333472-0010018340,1785447333472,VIRGEN DE ESTRELLA S.A.C.,2026-06-06,001/0018340,BAE736,VE-26,"PIEDRA HUSO # 67 - SAN LORENZO",MAT-9,37.13,38.24,248.56,"CONSORCIO AGREGADOS SAN LORENZO S.A.C. - OQUENDO","CONSORCIO AGREGADOS SAN LORENZO S.A.C.","OQUENDO","Virgen de Estrella 47043.pdf",2026-07-30T22:02:54.476Z
1785447333472-0010018341,1785447333472,VIRGEN DE ESTRELLA S.A.C.,2026-06-06,001/0018341,BFI758,VE-28,"PIEDRA HUSO # 67 - SAN LORENZO",MAT-9,39.28,40.46,262.99,"CONSORCIO AGREGADOS SAN LORENZO S.A.C. - OQUENDO","CONSORCIO AGREGADOS SAN LORENZO S.A.C.","OQUENDO","Virgen de Estrella 47043.pdf",2026-07-30T22:02:54.476Z
1785447333472-0010018342,1785447333472,VIRGEN DE ESTRELLA S.A.C.,2026-06-06,001/0018342,CBR854,VE-08,"PIEDRA HUSO # 67 - SAN LORENZO",MAT-9,38.24,39.39,256.04,"CONSORCIO AGREGADOS SAN LORENZO S.A.C. - OQUENDO","CONSORCIO AGREGADOS SAN LORENZO S.A.C.","OQUENDO","Virgen de Estrella 47043.pdf",2026-07-30T22:02:54.476Z
1785447333472-0010018344,1785447333472,VIRGEN DE ESTRELLA S.A.C.,2026-06-06,001/0018344,D8D861,VE-14,"PIEDRA HUSO # 67 - SAN LORENZO",MAT-9,35.98,37.06,240.89,"CONSORCIO AGREGADOS SAN LORENZO S.A.C. - OQUENDO","CONSORCIO AGREGADOS SAN LORENZO S.A.C.","OQUENDO","Virgen de Estrella 47043.pdf",2026-07-30T22:02:54.476Z
1785447333472-0010018346,1785447333472,VIRGEN DE ESTRELLA S.A.C.,2026-06-06,001/0018346,F3F817,VE-01,"PIEDRA HUSO # 67 - SAN LORENZO",MAT-9,44.31,45.64,296.66,"CONSORCIO AGREGADOS SAN LORENZO S.A.C. - OQUENDO","CONSORCIO AGREGADOS SAN LORENZO S.A.C.","OQUENDO","Virgen de Estrella 47043.pdf",2026-07-30T22:02:54.476Z
1785447333472-0010018331,1785447333472,VIRGEN DE ESTRELLA S.A.C.,2026-06-05,001/0018331,AKE789,VE-22,"PIEDRA HUSO # 67 - SAN LORENZO",MAT-9,35.38,36.26,207.41,"CONSORCIO AGREGADOS SAN LORENZO S.A.C. - MEIGGS","CONSORCIO AGREGADOS SAN LORENZO S.A.C.","MEIGGS","Virgen de Estrella 47043.pdf",2026-07-30T22:02:54.476Z
1785447333474-1910579823,1785447333474,VIRGEN DE ESTRELLA S.A.C.,2026-05-09,191/0579823,CHS718,VE-36,"PIEDRA HUSO #5",MAT-9,35.26,35.26,421.71,"CANTERA JICAMARCA - SAN JUAN","CANTERA JICAMARCA","SAN JUAN","Virgen de Estrella 47026.pdf",2026-07-30T22:02:54.476Z
1785447333474-1910578927,1785447333474,VIRGEN DE ESTRELLA S.A.C.,2026-05-04,191/0578927,CCL847,VE-35,"PIEDRA N#8 ASTM",MAT-9,34.24,34.24,409.51,"CANTERA JICAMARCA - SAN JUAN","CANTERA JICAMARCA","SAN JUAN","Virgen de Estrella 47026.pdf",2026-07-30T22:02:54.476Z
1785447333474-1910578911,1785447333474,VIRGEN DE ESTRELLA S.A.C.,2026-05-04,191/0578911,C9W737,VE-12,"ARENA",MAT-3,32.32,36.2,432.95,"CANTERA JICAMARCA - SAN JUAN","CANTERA JICAMARCA","SAN JUAN","Virgen de Estrella 47026.pdf",2026-07-30T22:02:54.476Z
1785447333474-1910579103,1785447333474,VIRGEN DE ESTRELLA S.A.C.,2026-05-05,191/0579103,C9W737,VE-12,"ARENA",MAT-3,32.33,36.21,433.07,"CANTERA JICAMARCA - SAN JUAN","CANTERA JICAMARCA","SAN JUAN","Virgen de Estrella 47026.pdf",2026-07-30T22:02:54.476Z
1785447333474-1910579580,1785447333474,VIRGEN DE ESTRELLA S.A.C.,2026-05-07,191/0579580,CBA709,VE-34,"ARENA",MAT-3,31.75,35.56,425.3,"CANTERA JICAMARCA - SAN JUAN","CANTERA JICAMARCA","SAN JUAN","Virgen de Estrella 47026.pdf",2026-07-30T22:02:54.476Z
1785447333474-1910579585,1785447333474,VIRGEN DE ESTRELLA S.A.C.,2026-05-07,191/0579585,BYP824,VE-05,"ARENA",MAT-3,37.31,41.79,499.81,"CANTERA JICAMARCA - SAN JUAN","CANTERA JICAMARCA","SAN JUAN","Virgen de Estrella 47026.pdf",2026-07-30T22:02:54.476Z
1785447333474-1910579607,1785447333474,VIRGEN DE ESTRELLA S.A.C.,2026-05-08,191/0579607,C9W737,VE-12,"ARENA",MAT-3,32.69,36.61,437.86,"CANTERA JICAMARCA - SAN JUAN","CANTERA JICAMARCA","SAN JUAN","Virgen de Estrella 47026.pdf",2026-07-30T22:02:54.476Z
1785447333474-1910583206,1785447333474,VIRGEN DE ESTRELLA S.A.C.,2026-06-03,191/0583206,CCL847,VE-35,"ARENA",MAT-3,33.57,37.6,449.7,"CANTERA JICAMARCA - SAN JUAN","CANTERA JICAMARCA","SAN JUAN","Virgen de Estrella 47026.pdf",2026-07-30T22:02:54.476Z
1785447333474-1910583447,1785447333474,VIRGEN DE ESTRELLA S.A.C.,2026-06-04,191/0583447,CBA709,VE-34,"ARENA",MAT-3,30.1,33.71,403.17,"CANTERA JICAMARCA - SAN JUAN","CANTERA JICAMARCA","SAN JUAN","Virgen de Estrella 47026.pdf",2026-07-30T22:02:54.476Z
1785447333474-1910578887,1785447333474,VIRGEN DE ESTRELLA S.A.C.,2026-05-04,191/0578887,CAZ895,VE-33,"ARENA",MAT-3,32.93,37.22,369.55,"CANTERA JICAMARCA - ANCIETA","CANTERA JICAMARCA","ANCIETA","Virgen de Estrella 47026.pdf",2026-07-30T22:02:54.476Z
1785447333474-1910578919,1785447333474,VIRGEN DE ESTRELLA S.A.C.,2026-05-04,191/0578919,CHS718,VE-36,"ARENA",MAT-3,30.71,34.7,344.62,"CANTERA JICAMARCA - ANCIETA","CANTERA JICAMARCA","ANCIETA","Virgen de Estrella 47026.pdf",2026-07-30T22:02:54.476Z
1785447333474-1910579065,1785447333474,VIRGEN DE ESTRELLA S.A.C.,2026-05-05,191/0579065,CHS718,VE-36,"ARENA",MAT-3,31.22,35.28,350.31,"CANTERA JICAMARCA - ANCIETA","CANTERA JICAMARCA","ANCIETA","Virgen de Estrella 47026.pdf",2026-07-30T22:02:54.476Z
1785447333474-1910579115,1785447333474,VIRGEN DE ESTRELLA S.A.C.,2026-05-05,191/0579115,CHS718,VE-36,"ARENA",MAT-3,36.6,36.6,363.39,"CANTERA JICAMARCA - ANCIETA","CANTERA JICAMARCA","ANCIETA","Virgen de Estrella 47026.pdf",2026-07-30T22:02:54.476Z
1785447333474-1910579258,1785447333474,VIRGEN DE ESTRELLA S.A.C.,2026-05-06,191/0579258,BYP824,VE-05,"ARENA",MAT-3,36.65,41.42,411.26,"CANTERA JICAMARCA - ANCIETA","CANTERA JICAMARCA","ANCIETA","Virgen de Estrella 47026.pdf",2026-07-30T22:02:54.476Z
1785447333474-1910579265,1785447333474,VIRGEN DE ESTRELLA S.A.C.,2026-05-06,191/0579265,CAZ895,VE-33,"ARENA",MAT-3,35.91,35.91,356.62,"CANTERA JICAMARCA - ANCIETA","CANTERA JICAMARCA","ANCIETA","Virgen de Estrella 47026.pdf",2026-07-30T22:02:54.476Z
1785447333474-1910579290,1785447333474,VIRGEN DE ESTRELLA S.A.C.,2026-05-06,191/0579290,C9W737,VE-12,"ARENA",MAT-3,30.84,34.84,346,"CANTERA JICAMARCA - ANCIETA","CANTERA JICAMARCA","ANCIETA","Virgen de Estrella 47026.pdf",2026-07-30T22:02:54.476Z
1785447333474-1910579634,1785447333474,VIRGEN DE ESTRELLA S.A.C.,2026-05-08,191/0579634,BYP824,VE-05,"ARENA",MAT-3,36.57,41.32,410.34,"CANTERA JICAMARCA - ANCIETA","CANTERA JICAMARCA","ANCIETA","Virgen de Estrella 47026.pdf",2026-07-30T22:02:54.476Z
1785447333474-1910579777,1785447333474,VIRGEN DE ESTRELLA S.A.C.,2026-05-09,191/0579777,CHS718,VE-36,"ARENA",MAT-3,35.76,35.76,355.08,"CANTERA JICAMARCA - ANCIETA","CANTERA JICAMARCA","ANCIETA","Virgen de Estrella 47026.pdf",2026-07-30T22:02:54.476Z
1785447333474-1910579779,1785447333474,VIRGEN DE ESTRELLA S.A.C.,2026-05-09,191/0579779,CCL847,VE-35,"ARENA",MAT-3,33.35,37.68,374.17,"CANTERA JICAMARCA - ANCIETA","CANTERA JICAMARCA","ANCIETA","Virgen de Estrella 47026.pdf",2026-07-30T22:02:54.476Z
1785447333474-1910579831,1785447333474,VIRGEN DE ESTRELLA S.A.C.,2026-05-09,191/0579831,CBA709,VE-34,"ARENA",MAT-3,32.39,36.6,363.39,"CANTERA JICAMARCA - ANCIETA","CANTERA JICAMARCA","ANCIETA","Virgen de Estrella 47026.pdf",2026-07-30T22:02:54.476Z
1785447333474-1910583151,1785447333474,VIRGEN DE ESTRELLA S.A.C.,2026-06-03,191/0583151,CCL847,VE-35,"ARENA",MAT-3,32.85,37.12,368.63,"CANTERA JICAMARCA - ANCIETA","CANTERA JICAMARCA","ANCIETA","Virgen de Estrella 47026.pdf",2026-07-30T22:02:54.476Z
1785447333474-1910583196,1785447333474,VIRGEN DE ESTRELLA S.A.C.,2026-06-03,191/0583196,CBA709,VE-34,"ARENA",MAT-3,32.67,36.92,366.63,"CANTERA JICAMARCA - ANCIETA","CANTERA JICAMARCA","ANCIETA","Virgen de Estrella 47026.pdf",2026-07-30T22:02:54.476Z
1785447333474-1910578888,1785447333474,VIRGEN DE ESTRELLA S.A.C.,2026-05-04,191/0578888,CHS718,VE-36,"PIEDRA HUSO #67",MAT-9,33.42,33.42,331.84,"CANTERA JICAMARCA - ANCIETA","CANTERA JICAMARCA","ANCIETA","Virgen de Estrella 47026.pdf",2026-07-30T22:02:54.476Z
1785447333474-1910578890,1785447333474,VIRGEN DE ESTRELLA S.A.C.,2026-05-04,191/0578890,CCL847,VE-35,"PIEDRA HUSO #67",MAT-9,34.26,34.26,340.15,"CANTERA JICAMARCA - ANCIETA","CANTERA JICAMARCA","ANCIETA","Virgen de Estrella 47026.pdf",2026-07-30T22:02:54.476Z
1785447333474-1910578923,1785447333474,VIRGEN DE ESTRELLA S.A.C.,2026-05-04,191/0578923,CBA709,VE-34,"PIEDRA HUSO #67",MAT-9,36.49,36.49,362.32,"CANTERA JICAMARCA - ANCIETA","CANTERA JICAMARCA","ANCIETA","Virgen de Estrella 47026.pdf",2026-07-30T22:02:54.476Z
1785447333474-1910579091,1785447333474,VIRGEN DE ESTRELLA S.A.C.,2026-05-05,191/0579091,BYP824,VE-05,"PIEDRA HUSO #67",MAT-9,41.7,41.7,414.03,"CANTERA JICAMARCA - ANCIETA","CANTERA JICAMARCA","ANCIETA","Virgen de Estrella 47026.pdf",2026-07-30T22:02:54.476Z
1785447333474-1910579130,1785447333474,VIRGEN DE ESTRELLA S.A.C.,2026-05-05,191/0579130,BYP824,VE-05,"PIEDRA HUSO #67",MAT-9,39.9,39.9,396.18,"CANTERA JICAMARCA - ANCIETA","CANTERA JICAMARCA","ANCIETA","Virgen de Estrella 47026.pdf",2026-07-30T22:02:54.476Z
1785447333474-1910579189,1785447333474,VIRGEN DE ESTRELLA S.A.C.,2026-05-05,191/0579189,BYP824,VE-05,"PIEDRA HUSO #67",MAT-9,40.11,40.11,398.33,"CANTERA JICAMARCA - ANCIETA","CANTERA JICAMARCA","ANCIETA","Virgen de Estrella 47026.pdf",2026-07-30T22:02:54.476Z
1785447333474-1910579215,1785447333474,VIRGEN DE ESTRELLA S.A.C.,2026-05-05,191/0579215,BYP824,VE-05,"PIEDRA HUSO #67",MAT-9,40.5,40.5,402.18,"CANTERA JICAMARCA - ANCIETA","CANTERA JICAMARCA","ANCIETA","Virgen de Estrella 47026.pdf",2026-07-30T22:02:54.476Z
1785447333474-1910579252,1785447333474,VIRGEN DE ESTRELLA S.A.C.,2026-05-06,191/0579252,CHS718,VE-36,"PIEDRA HUSO #67",MAT-9,36.58,36.58,363.24,"CANTERA JICAMARCA - ANCIETA","CANTERA JICAMARCA","ANCIETA","Virgen de Estrella 47026.pdf",2026-07-30T22:02:54.476Z
1785447333474-1910579263,1785447333474,VIRGEN DE ESTRELLA S.A.C.,2026-05-06,191/0579263,CCL847,VE-35,"PIEDRA HUSO #67",MAT-9,34.26,34.26,340.15,"CANTERA JICAMARCA - ANCIETA","CANTERA JICAMARCA","ANCIETA","Virgen de Estrella 47026.pdf",2026-07-30T22:02:54.476Z
1785447333474-1910579316,1785447333474,VIRGEN DE ESTRELLA S.A.C.,2026-05-06,191/0579316,BYP824,VE-05,"PIEDRA HUSO #67",MAT-9,40.28,40.28,400.03,"CANTERA JICAMARCA - ANCIETA","CANTERA JICAMARCA","ANCIETA","Virgen de Estrella 47026.pdf",2026-07-30T22:02:54.476Z
1785447333474-1910579476,1785447333474,VIRGEN DE ESTRELLA S.A.C.,2026-05-07,191/0579476,BYP824,VE-05,"PIEDRA HUSO #67",MAT-9,41.12,41.12,408.34,"CANTERA JICAMARCA - ANCIETA","CANTERA JICAMARCA","ANCIETA","Virgen de Estrella 47026.pdf",2026-07-30T22:02:54.476Z
1785447333474-1910583166,1785447333474,VIRGEN DE ESTRELLA S.A.C.,2026-06-03,191/0583166,CHS718,VE-36,"PIEDRA HUSO #67",MAT-9,36.35,36.35,360.93,"CANTERA JICAMARCA - ANCIETA","CANTERA JICAMARCA","ANCIETA","Virgen de Estrella 47026.pdf",2026-07-30T22:02:54.476Z
1785447333474-1910582880,1785447333474,VIRGEN DE ESTRELLA S.A.C.,2026-06-01,191/0582880,CCL847,VE-35,"ARENA",MAT-3,31.69,34.86,586.69,"CANTERA JICAMARCA - CONCHAN","CANTERA JICAMARCA","CONCHAN","Virgen de Estrella 47026.pdf",2026-07-30T22:02:54.476Z
